user_id,total_watch_time,watch_count,search_count,avg_search_time,search_click_rate,recommend_count
user_00001,184.77,11,1.0,27.5,1.0,3.0
user_00002,4640.94,213,3.0,18.099999999999998,0.0,0.0
user_00003,1893.99,90,0.0,0.0,0.0,7.0
user_00004,109397.52,5224,2.0,26.549999999999997,0.0,4.0
user_00005,18825.46,901,2.0,37.7,1.0,1.0
user_00006,9300.36,462,1.0,17.4,0.0,9.0
user_00007,702.33,38,2.0,10.65,0.0,2.0
user_00008,1756.93,95,2.0,7.0,0.5,3.0
user_00009,23.96,1,2.0,39.1,0.5,5.0
user_00010,174.01,10,3.0,15.699999999999998,0.0,5.0
user_00011,271.48,14,0.0,0.0,0.0,6.0
user_00012,279.82,17,5.0,21.12,1.0,4.0
user_00013,212.09,11,5.0,25.56,0.4,1.0
user_00014,259.09000000000003,11,7.0,29.900000000000002,0.2857142857142857,4.0
user_00016,159.79,8,3.0,22.166666666666668,0.3333333333333333,3.0
user_00017,232.95000000000002,11,1.0,31.9,1.0,3.0
user_00018,233.46,8,2.0,0.6,0.5,1.0
user_00019,62.63,2,4.0,27.2,0.5,5.0
user_00020,258.15,11,1.0,42.0,1.0,6.0
user_00021,144.73,9,2.0,24.75,0.0,2.0
user_00022,305.88,15,2.0,18.25,0.5,4.0
user_00023,480.92,18,3.0,8.733333333333333,1.0,7.0
user_00024,232.17000000000002,10,1.0,16.4,0.0,5.0
user_00026,162.24,10,5.0,12.42,0.2,4.0
user_00027,316.14,12,1.0,24.7,0.0,1.0
user_00028,768.03,44,6.0,9.066666666666668,0.0,8.0
user_00029,243.68,8,4.0,13.8,1.0,7.0
user_00030,228.16,10,1.0,33.4,1.0,5.0
user_00031,119.68,7,1.0,15.5,1.0,16.0
user_00032,219.11,10,5.0,21.18,0.8,6.0
user_00033,469.27,14,2.0,31.1,0.5,5.0
user_00034,434.21000000000004,10,1.0,13.4,0.0,4.0
user_00035,213.42000000000002,10,2.0,31.700000000000003,0.5,6.0
user_00036,78.88,5,5.0,12.719999999999999,0.8,4.0
user_00037,57.52,1,3.0,12.733333333333334,0.6666666666666666,10.0
user_00039,222.95000000000002,11,3.0,26.166666666666668,0.0,12.0
user_00040,541.05,9,1.0,22.8,0.0,6.0
user_00041,347.63,10,1.0,6.2,0.0,3.0
user_00043,269.7,8,0.0,0.0,0.0,6.0
user_00044,156.88,8,3.0,15.9,0.0,12.0
user_00045,45.78,1,5.0,7.32,0.4,4.0
user_00046,186.21,10,2.0,18.2,0.5,6.0
user_00047,175.53,8,2.0,57.3,0.5,6.0
user_00048,298.84000000000003,12,4.0,16.15,0.0,14.0
user_00049,121.07,9,3.0,15.033333333333333,0.3333333333333333,6.0
user_00050,202.67,11,4.0,11.075,0.25,8.0
user_00054,245.57999999999998,10,1.0,0.0,0.0,3.0
user_00055,360.57,14,2.0,22.9,0.0,6.0
user_00057,23.21,2,1.0,13.6,0.0,6.0
user_00058,114.71000000000001,8,4.0,21.6,0.75,2.0
user_00059,227.64000000000001,12,1.0,22.8,1.0,2.0
