user_id,timestamp,activity_type,device_type,search_id,search_query,results_returned,clicked_result_position,search_duration_seconds,used_filters,Has Auto Playback,is_clicked,clicked_position
user_00001,2025-12-29 19:38:00,Search,Desktop,search_022245,action movies,50.0,7.0,27.5,False,0,1,7.0
user_00002,2025-01-28 22:47:00,Search,Mobile,search_020098,classic movies,86.0,-1.0,22.4,False,0,0,
user_00002,2025-12-14 21:09:00,Search,TV,search_022126,horror movies,84.0,-1.0,7.0,False,0,0,
user_00002,2025-12-08 21:33:00,Search,TV,search_003994,movies based on true stories,7.0,-1.0,24.9,True,0,0,
user_00004,2025-11-20 20:44:00,Search,Mobile,search_021367,christmas movies,78.0,-1.0,42.9,False,0,0,
user_00004,2025-12-29 20:29:00,Search,TV,search_015439,classic movies,67.0,-1.0,10.2,False,0,0,
user_00005,2025-09-29 18:25:00,Search,Desktop,search_001556,music documentaries,66.0,10.0,37.7,False,0,1,10.0
user_00005,2025-09-29 19:34:00,Search,Mobile,search_001556,music documentaries,66.0,10.0,37.7,False,0,1,10.0
user_00006,2025-06-11 19:23:00,Search,Mobile,search_017598,stand up comedy,41.0,-1.0,17.4,False,0,0,
user_00007,2025-04-17 19:18:00,Search,Desktop,search_003683,new releases,55.0,-1.0,9.4,False,0,0,
user_00007,2025-08-06 20:54:00,Search,Mobile,search_009675,netflix originals,18.0,-1.0,11.9,False,0,0,
user_00008,2025-04-04 22:42:00,Search,TV,search_016230,drama series,18.0,-1.0,0.0,False,0,0,
user_00008,2025-08-04 22:50:00,Search,Laptop,search_001636,comedy shows,38.0,3.0,14.0,False,0,1,3.0
user_00009,2025-10-14 19:10:00,Search,TV,search_008220,christmas movies,14.0,3.0,72.7,True,0,1,3.0
user_00009,2025-12-08 19:31:00,Search,Mobile,search_003400,superhero movies,97.0,-1.0,5.5,False,0,0,
user_00010,2025-06-04 21:21:00,Search,Mobile,search_019465,music documentaries,0.0,-1.0,31.9,False,0,0,
user_00010,2025-06-30 21:42:00,Search,TV,search_023103,thriller series,22.0,-1.0,5.0,False,0,0,
user_00010,2025-12-04 20:38:00,Search,Desktop,search_012915,comedy shows,95.0,-1.0,10.2,False,0,0,
user_00012,2025-04-26 18:33:00,Search,TV,search_012348,korean drama,4.0,5.0,26.1,False,0,1,5.0
user_00012,2025-08-29 22:50:00,Search,Laptop,search_003107,trending now,22.0,7.0,43.6,False,0,1,7.0
user_00012,2025-07-19 20:59:00,Search,Desktop,search_005942,stand up comedy,12.0,9.0,15.5,True,0,1,9.0
user_00012,2025-09-24 18:56:00,Search,Mobile,search_016024,new releases,55.0,10.0,6.0,True,0,1,10.0
user_00012,2025-12-23 22:18:00,Search,TV,search_002355,christmas movies,50.0,1.0,14.4,False,0,1,1.0
user_00013,2025-03-13 19:11:00,Search,Mobile,search_022182,netflix originals,32.0,-1.0,12.0,False,0,0,
user_00013,2025-04-07 20:14:00,Search,Mobile,search_021551,trending now,92.0,-1.0,16.0,False,0,0,
user_00013,2025-05-22 20:36:00,Search,Mobile,search_009859,true crime,95.0,-1.0,60.8,False,0,0,
user_00013,2025-07-24 21:57:00,Search,Mobile,search_011172,classic movies,43.0,4.0,6.9,False,0,1,4.0
user_00013,2025-12-19 19:39:00,Search,Desktop,search_023897,action movies,29.0,6.0,32.1,True,0,1,6.0
user_00014,2025-06-03 20:44:00,Search,TV,search_021415,true crime,57.0,-1.0,42.0,False,0,0,
user_00014,2025-06-03 21:44:00,Search,Mobile,search_021415,true crime,57.0,-1.0,42.0,False,0,0,
user_00014,2025-06-03 22:46:00,Search,Mobile,search_021415,true crime,57.0,-1.0,42.0,False,0,0,
user_00014,2025-09-10 20:18:00,Search,Mobile,search_013047,animated shows,67.0,6.0,23.4,False,0,1,6.0
user_00014,2025-09-10 21:28:00,Search,TV,search_013047,animated shows,67.0,6.0,23.4,False,0,1,6.0
user_00014,2025-07-13 22:05:00,Search,TV,search_011860,short episodes under 30 minutes,17.0,-1.0,20.0,False,0,0,
user_00014,2025-08-26 18:28:00,Search,Tablet,search_000770,trending now,40.0,-1.0,16.5,False,0,0,
user_00015,2025-04-21 19:25:00,Search,Laptop,search_015562,cooking shows,69.0,-1.0,28.8,False,0,0,
user_00015,2025-10-28 20:13:00,Search,Mobile,search_009612,sci-fi,9.0,4.0,5.0,False,0,1,4.0
user_00016,2025-03-20 22:53:00,Search,TV,search_001689,netflix originals,21.0,-1.0,5.3,True,0,0,
user_00016,2025-07-26 20:27:00,Search,Mobile,search_022953,comedy shows,73.0,2.0,53.1,False,0,1,2.0
user_00016,2025-06-19 19:37:00,Search,TV,search_006006,comedy shows,56.0,-1.0,8.1,False,0,0,
user_00017,2025-01-29 18:31:00,Search,Mobile,search_020218,superhero movies,53.0,10.0,31.9,True,0,1,10.0
user_00018,2025-01-05 22:55:00,Search,Mobile,search_022863,biographies,82.0,-1.0,0.0,True,0,0,
user_00018,2025-04-23 21:46:00,Search,Mobile,search_010197,sci-fi,9.0,4.0,1.2,False,0,1,4.0
user_00019,2025-02-23 20:40:00,Search,Mobile,search_019625,thriller series,72.0,-1.0,29.5,False,0,0,
user_00019,2025-09-13 18:22:00,Search,Mobile,search_001176,korean drama,65.0,6.0,12.9,False,0,1,6.0
user_00019,2025-12-06 20:15:00,Search,TV,search_010348,cooking shows,68.0,-1.0,27.9,False,0,0,
user_00019,2025-12-19 22:09:00,Search,Mobile,search_015259,war movies,92.0,5.0,38.5,False,0,1,5.0
user_00020,2025-06-05 18:18:00,Search,TV,search_013016,thriller series,93.0,10.0,42.0,False,0,1,10.0
user_00021,2025-05-04 19:20:00,Search,Mobile,search_004481,shows with strong female leads,3.0,-1.0,42.5,False,0,0,
user_00021,2025-06-29 21:53:00,Search,TV,search_009768,romantic comedies,47.0,-1.0,7.0,True,0,0,
user_00022,2025-07-05 19:44:00,Search,Mobile,search_002317,drama series,38.0,3.0,7.1,True,0,1,3.0
user_00022,2025-11-28 22:33:00,Search,TV,search_008645,family movies,68.0,-1.0,29.4,True,0,0,
user_00023,2025-05-11 18:47:00,Search,Mobile,search_006437,documentaries,66.0,4.0,13.3,False,0,1,4.0
user_00023,2025-11-01 21:04:00,Search,Mobile,search_024477,award winning documentaries,90.0,9.0,4.2,False,0,1,9.0
user_00023,2025-11-15 21:19:00,Search,Mobile,search_017139,netflix originals,85.0,10.0,8.7,False,0,1,10.0
user_00024,2025-10-11 19:43:00,Search,Tablet,search_023668,horror movies,65.0,-1.0,16.4,True,0,0,
user_00025,2025-06-15 18:11:00,Search,TV,search_007810,halloween movies,25.0,-1.0,7.8,False,0,0,
user_00025,2025-08-22 22:59:00,Search,Laptop,search_011044,family movies,72.0,-1.0,37.2,True,0,0,
